Player_Age,Player_Weight,Player_Height,Previous_Injuries,Training_Intensity,Recovery_Time,Likelihood_of_Injury
24,66.25193286255299,175.73242883117646,1,0.4579289944340279,5,0
37,70.99627126832448,174.58165012331358,0,0.2265216260361057,6,1
32,80.09378116336106,186.32961751509828,0,0.6139703063252326,2,1
28,87.47327055231725,175.50423961774717,1,0.2528581182501112,4,1
25,84.6592200795959,190.1750122908418,0,0.5776317543444226,1,1
38,75.82054871152798,206.63182350119823,1,0.35920874698269034,4,0
24,70.12604976078852,177.04458759853452,0,0.823552226611819,2,0
36,79.03820558679305,181.52315513576625,1,0.8206961607667793,3,1
28,64.08609562706529,183.79482057165507,1,0.4773503981224013,1,1
28,66.82998560739105,198.11504812593517,1,0.3508191093350156,1,0
38,90.09771312459624,179.17352214961812,0,0.36255979655909454,3,0
21,79.02034480046922,171.70983080341637,0,0.8057145256682179,4,0
25,71.52473266227045,167.33659494374297,1,0.328179482797612,5,0
20,83.29138684585268,179.42016052567766,0,0.20905937370684602,4,0
39,87.86974963849593,175.51619780946118,1,0.08468834187530683,2,1
38,70.5536244175436,200.100092893,1,0.4666931208844084,6,1
19,70.72592057550524,197.69862420676967,0,0.4821320989198419,5,1
29,69.47354226652995,169.656271720764,1,0.8409087104029072,4,1
23,84.63850318715362,172.8923989645082,0,0.22123869644606398,6,0
19,84.73557447520125,180.73770107886887,1,0.3809912736683999,6,1
38,88.85903321291099,193.97226422558762,0,0.8084057388936909,3,0
18,85.08602949848836,180.57013136371052,1,0.8236236107489735,2,0
29,58.67781920571481,173.52759362011955,1,0.3846110759787682,2,0
39,77.80964320918198,179.41118190097276,0,0.4591240232866809,2,0
29,64.41614597152947,173.71515136103955,1,0.3032858908492829,5,0
34,69.87085625028584,186.02477209439482,1,0.9325548784193121,1,0
27,76.70594203580863,172.90966288335295,0,0.11864376574158031,5,0
33,83.35565398349904,174.89563947573032,1,0.93374942300147,4,1
32,66.09156657548922,191.61933813456096,0,0.6838664518353432,6,0
32,51.752803385475985,172.31635052685928,1,0.5315721526867312,6,1
36,76.80530841805431,165.53871967439838,0,0.032659060784495875,1,1
29,101.43571583398551,180.94993751356304,1,0.4755961918220083,4,0
37,72.97153780329847,176.39526595795405,1,0.4077481050027323,1,0
20,75.46915434950259,185.11415500929954,1,0.16121881197512256,6,1
22,92.82163618536079,183.1747193473109,0,0.6564096035006569,5,1
36,80.90274619061788,179.6808150535664,0,0.9711509073682858,2,1
24,77.16861036982938,179.38956574530005,0,0.5621888110645251,6,1
38,79.42116665313473,172.64141550677164,0,0.7147532764439458,3,0
26,77.50243932573649,180.83347070993244,1,0.06845045256601678,2,0
24,63.602455718432935,188.81284781432768,1,0.41766699581699473,6,0
35,61.58554842200303,170.26553258600524,0,0.11635848516449587,5,1
21,93.86828112124238,179.94602623638465,0,0.6127958355365104,1,0
31,76.83883351905158,190.38388755734613,0,0.9384821582141546,2,1
35,76.00095442579698,185.054240932167,1,0.6617777324716385,5,0
26,74.09772335943791,193.09472896350712,0,0.07680304831442153,4,1
38,82.81073267616452,174.31857670165667,0,0.35466620498508283,3,0
19,100.38691101737487,161.69231551605134,1,0.5506633794408515,2,0
37,80.23952667107794,182.00651803955688,1,0.4032077561332522,1,1
32,69.11913173685447,183.62570815026484,0,0.8336440104751723,4,1
24,73.66599142108456,193.68421954472674,1,0.8146710047099892,5,1
29,85.70996467205255,191.88145734706984,0,0.6118310201032214,3,1
25,69.17199398587002,185.3674362301246,1,0.37345794513270525,1,1
32,83.52246489030269,187.65390214170435,0,0.25533637376324414,5,0
20,51.7926262602187,178.08178541793362,0,0.10587431821312931,5,1
31,72.70120428553614,167.80885388680784,0,0.35489768348655404,2,0
34,81.28140013480669,181.1772121738091,0,0.4131725172077195,2,0
21,87.70125546575716,189.8257346362778,1,0.6758229251040736,1,0
35,66.81525782957608,186.5636086982855,1,0.6581598242975735,6,0
25,59.97234982369396,188.33807339159364,1,0.07010813964125695,6,0
